,Location,Latitude,Longitude,Frequency Of Monitoring,Sampling Month,Dissolved Oxygen,Bio Chemical Oxygen Demand,Fecal Coliform,pH
39,"1049-RIVER GANGA AT ALLAHABAD D/S (SANGAM), U.P.",25.41920,81.900522,FORTNIGHTLY,May-2021,8.3,2.8,1200,8.32
40,"1062-RIVER GANGA AT GARHMUKTESHWAR, U.P",28.76062,78.143766,FORTNIGHTLY,May-2021,7.4,2.6,1200,8.27
41,"1063-RIVER GANGA AT KANNAUJ U/S (RAJGHAT), U.P",27.13845,79.930775,FORTNIGHTLY,Jul-2021,7.8,2.8,350,7.42
42,"1066-RIVER GANGA AT KANNAUJ D/S, U.P",27.01095,79.986442,FORTNIGHTLY,Jun-2021,7.9,2.6,1300,8.31
43,"1067-RIVER GANGA AT KANPUR U/S (RANIGHAT), U.P",26.50554,80.314344,FORTNIGHTLY,Jun-2021,7.9,3,1600,8
44,"1068-RIVER GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",26.43618,80.409610,FORTNIGHTLY,Jun-2021,7.9,3.6,2500,8.25
45,"1070-RIVER GANGA AT VARANASI U/S (ASSIGHAT), U.P",25.28935,83.006389,FORTNIGHTLY,Jun-2021,7.5,4.2,7900,8.15
46,"1071-RIVER GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",25.32148,83.035285,FORTNIGHTLY,May-2021,8.5,2.4,1100,8.52
47,"1073-RIVER GANGA AT TRIGHAT (GHAZIPUR), U.P",25.57817,83.609594,FORTNIGHTLY,May-2021,7.5,4,13000,8.32
48,"1145-RIVER GANGA AT NARORA (BULANDSAHAR), U.P.",28.18970,78.395878,FORTNIGHTLY,May-2021,7.5,4.4,14000,8.34
49,"1146-RIVER GANGA AT BITHOOR (KANPUR), U.P.",26.61090,80.275419,FORTNIGHTLY,May-2021,7.1,2.1,930,7
50,"1147-RIVER GANGA AT DALMAU (RAI BAREILLY), U.P.",26.07438,81.024075,FORTNIGHTLY,Jun-2021,8.1,3.3,1100,8.3
51,"2485-RIVER GANGA U/S, VINDHYACHAL, MIRZAPUR",25.24403,82.418272,FORTNIGHTLY,Jan-2021,10.5,3.5,1300,8.11
52,"2486-RIVER GANGA D/S, MIRZAPUR",25.17705,82.602225,FORTNIGHTLY,May-2021,8,2.5,800,8.41
53,"2487-RIVER GANGA AT KADAGHAT, ALLAHABAD",25.44312,81.887148,FORTNIGHTLY,May-2021,7.4,4.2,11000,8.5
54,"2488-RIVER GANGA U/S, ANOOPSHAHAR",28.36439,78.270269,FORTNIGHTLY,May-2021,7.8,2.5,810,8.37
55,"2489-RIVER GANGA D/S, ANOOPSHAHAR",28.27420,78.324338,FORTNIGHTLY,May-2021,9.1,1.7,970,6.9
56,"2490-RIVER GANGA AT KACHHLA GHAT, ALIGARH",27.92780,78.866289,FORTNIGHTLY,May-2021,8.9,1.9,950,7.2
57,"2498-RIVER GANGA AT KALA KANKAR, RAEBARELI",25.77429,81.382673,FORTNIGHTLY,May-2021,9.4,1.2,260,7.6
58,10149-RIVER GANGA AT GHARMUKTESHWAR,28.80244,78.128722,FORTNIGHTLY,Jan-2021,10.5,3.5,1300,8.07
59,"10150-RIVER GANGA AT MADHYA GANGA BARRAGE, BIJNOR",29.37346,78.040547,FORTNIGHTLY,Jul-2021,8,2,220,7.35
60,10151-RIVER GANGA AT FARRUKABAD,27.39863,79.627389,FORTNIGHTLY,Jun-2021,9,1.1,840,7.8
61,"10152-RIVER GANGA A/C GOMTI RIVER, BHUSAULA",25.34510,82.479827,FORTNIGHTLY,Jun-2021,8.1,1.6,930,8.42
62,10153-RIVER GANGA AT CHUNAR,25.12927,82.877278,FORTNIGHTLY,May-2021,8.2,3.3,5000,8.42
63,10154-RIVER GANGA AT BATHING GHAT (BHARAOGHAT),25.51411,83.850678,FORTNIGHTLY,May-2021,8,3.2,7000,8.4
64,10155-RIVER GANGA AT D/S (SHUKLAGANJ),26.47419,80.376139,FORTNIGHTLY,Jun-2021,8,3.2,1800,8.28
65,10156-RIVER GANGA AT BATHING GHAT (GOLA GHAT),25.58012,83.589787,FORTNIGHTLY,Jun-2021,7.7,3.8,3200,8.22
66,10157-RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),26.43432,80.408587,FORTNIGHTLY,Jun-2021,7.6,3.5,4100,8.2
67,"10158-RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",25.25936,82.096478,FORTNIGHTLY,Jun-2021,7.7,3.9,4900,8.18
68,30006-RIVER GANGA AT BIJNOR (U.P.),29.37316,78.036474,FORTNIGHTLY,May-2021,8.4,2.6,810,8.14
69,30075-RIVER GANGA AT TARIGHAT GHAZIPUR (U.P.),25.57715,83.584219,QUARTERLY</,Jun-2021,7.2,1.6,13000,7.5
70,"1060-RIVER GANGA AT RISHIKESH U/S,",30.11513,78.307032,QUARTERLY</,Feb-2021,8.8,6,800,7.46
